"302453.792866035,4123700.03487159"
"302454.366331134,4123700.90193351"
"302454.923622163,4123701.80113969"
"302455.486968472,4123702.71784984"
"302456.015476479,4123703.59302842"
"302456.540294752,4123704.55123213"
"302457.018329982,4123705.43995105"
"302457.525811967,4123706.38091635"
"302458.004096024,4123707.28021732"
"302458.539945528,4123708.22757367"
"302459.09296497,4123709.18511386"
"302459.621887281,4123710.07792932"
"302460.174325442,4123711.01077823"
"302460.692796927,4123711.93913256"
"302461.170831352,4123712.82785169"
"302461.702035937,4123713.81766897"
"302462.192014889,4123714.73434137"
"302462.705343659,4123715.68399256"
"302463.200796734,4123716.59347761"
"302463.714083788,4123717.54136518"
"302464.197923961,4123718.4370064"
"302464.711252307,4123719.38665769"
"302465.230552901,4123720.35028562"
"302465.744171545,4123721.31228265"
"302466.222952022,4123722.23274805"
"302466.729892552,4123723.15078616"
"302467.248570176,4123724.08795919"
"302467.761067828,4123725.0023373"
"302468.261413165,4123725.87994387"
"302468.761675395,4123726.75402314"
"302469.320249927,4123727.70790387"
"302469.837972466,4123728.60451269"
"302470.367598088,4123729.5273111"
"302470.891583272,4123730.45024226"
"302471.392550519,4123731.35430402"
"302471.900112535,4123732.29879742"
"302472.390587462,4123733.23663437"
"302472.875961477,4123734.19753173"
"302473.338774095,4123735.15896002"
"302473.800590586,4123736.07806031"
"302474.267798296,4123736.9864459"
"302474.753088908,4123737.94381603"
"302475.254968378,4123738.88667867"
"302475.773187692,4123739.80445183"
"302476.285434566,4123740.7082484"
"302476.803570665,4123741.62249428"
"302477.316066342,4123742.5368729"
"302477.828271408,4123743.43890589"
"302478.508399388,4123744.28228357"
"302479.12694025,4123745.14652158"
"302479.671990872,4123746.00543032"
"302480.189088811,4123746.8755847"
"302480.650405994,4123747.77352132"
"302481.151993791,4123748.7040386"
"302481.636287038,4123749.61908107"
"302482.114732381,4123750.52543794"
"302482.615323875,4123751.41362728"
"302483.144988327,4123752.33819008"
"302477.654391288,4123741.80540773"
"302478.172776073,4123742.73023572"
"302478.691160858,4123743.65506371"
"302479.247865751,4123744.52957999"
"302479.980786155,4123745.21819151"
"302480.900206712,4123745.67830485"
"302481.919364712,4123745.82020014"
"302482.968546609,4123745.79904184"
"302483.97940827,4123745.82819538"
"302484.991141399,4123745.89438605"
"302485.996196713,4123745.91661789"
"302486.996317177,4123745.9689649"
"302485.424740286,4123745.85418453"
"302484.378791769,4123745.77291709"
"302483.332926218,4123745.69517712"
"302482.304230591,4123745.62762113"
"302481.295730712,4123745.45900534"
"302480.309663856,4123745.04457628"
"302479.4563915,4123744.51761466"
"302478.701117219,4123743.83835241"
"302478.10650702,4123743.03178457"
"302477.59509048,4123742.16326125"
"302478.085270007,4123742.84876131"
"302478.687844563,4123743.75396181"
"302479.22348219,4123744.692501"
"302479.723908299,4123745.57363553"
"302480.277006156,4123746.5347043"
"302480.782906372,4123747.40865149"
"302481.324889374,4123748.37704043"
"302481.838380189,4123749.33374733"
"302482.333704957,4123750.23794238"
"302482.857521691,4123751.15381955"
"302483.391664455,4123752.02886695"
"302483.897937548,4123752.91868731"
"302484.411012835,4123753.85775768"
"302484.929520829,4123754.78787701"
"302485.440728434,4123755.64758239"
"302485.974870679,4123756.52262994"
"302486.543892135,4123757.44097292"
"302487.056510397,4123758.36064308"
"302487.575017855,4123759.29076257"
"302488.082576579,4123760.23525685"
"302488.555131399,4123761.13116475"
"302489.033409425,4123762.03046731"
"302489.558054749,4123762.98161819"
"302490.081164528,4123763.86751341"
"302490.307092375,4123765.55449077"
"302490.796318235,4123766.43941874"
"302491.285544095,4123767.32434671"
"302491.774769955,4123768.20927468"
"302492.263995815,4123769.09420265"
"302492.753221675,4123769.97913062"
"302493.243567879,4123770.91167764"
"302493.785050146,4123771.8589033"
"302494.269091875,4123772.7633644"
"302494.811860343,4123773.76526381"
"302495.301708158,4123774.67664693"
"302495.838670109,4123775.67162443"
"302496.334116511,4123776.58111122"
"302496.823383059,4123777.46780308"
"302497.336746074,4123778.41921982"
"302497.814897817,4123779.31323181"
"302498.311796211,4123780.28444707"
"302498.791856609,4123781.25958782"
"302499.255037526,4123782.23689039"
"302499.677823384,4123783.17632124"
"302500.084850188,4123784.16553293"
"302500.424027434,4123785.14928246"
"302500.661471935,4123786.12660239"
"302500.872291804,4123787.17160523"
